id,topic,question,example_input,example_output,hint1,hint2,hint3,solution,time_complexity,space_complexity,difficulty
p001,Array,Find the largest element in an array.,"[3,7,2,9,4]",9,Start with the first element as the maximum.,Compare every element with the current maximum.,,Traverse the array and keep track of the largest value.,O(n),O(1),Easy
p002,Array,Find the sum of all elements in an array.,"[1,2,3,4,5]",15,Create a variable to store the sum.,Add each element to the sum., ,Traverse the array and add every value.,O(n),O(1),Easy
p003,Array,Count how many even numbers are present in an array.,"[1,4,6,9,10]",3,Check each number using the modulo operator.,Increase the counter when the remainder is zero., ,Traverse the array and count values divisible by 2.,O(n),O(1),Easy
p004,String,Check whether a string is a palindrome.,madam,True,Compare characters from both ends.,Move the left pointer forward and right pointer backward., ,Use two pointers and compare corresponding characters.,O(n),O(1),Easy
p005,String,Count the number of vowels in a string.,education,5,Create a set containing the vowels.,Check every character against the vowel set., ,Traverse the string and increment the count for each vowel.,O(n),O(1),Easy
p006,Array,Find the second largest element in an array.,"[10,5,8,20,15]",15,Keep track of the largest and second largest values.,Update both values while traversing the array., ,Maintain two variables for the largest and second largest values.,O(n),O(1),Easy
p007,Linked List,Count the number of nodes in a linked list.,1 -> 2 -> 3 -> 4,4,Start from the head node.,Move to the next node until reaching null., ,Traverse the linked list and increment a counter for each node.,O(n),O(1),Easy
p008,Stack,Check whether parentheses are balanced.,({[]}),True,Use a stack for opening brackets.,For every closing bracket check the stack top., ,Push opening brackets and match them with closing brackets.,O(n),O(n),Easy
p009,Array,Remove duplicate values from a sorted array.,"[1,1,2,2,3,4,4]","[1,2,3,4]",Use two positions in the array.,Keep a value only when it differs from the previous unique value., ,Use the two-pointer technique to overwrite duplicate positions.,O(n),O(1),Easy
p010,Searching,Find the position of a target element using linear search.,"[4,8,2,7] target=7",3,Start from the first element.,Compare each element with the target., ,Traverse the array until the target is found.,O(n),O(1),Easy
p011,Array,Find the maximum subarray sum.,"[-2,1,-3,4,-1,2,1,-5,4]",6,Track the best sum ending at the current position.,Reset the running sum when it becomes harmful.,Use Kadane's algorithm to maintain the current and maximum sums.,Traverse the array using Kadane's algorithm.,O(n),O(1),Medium
p012,Array,Rotate an array to the right by k positions.,"[1,2,3,4,5,6,7] k=3","[5,6,7,1,2,3,4]",Reduce k using the array length.,Consider reversing sections of the array.,Reverse the whole array and then reverse the two sections.,Reverse the array sections to perform the rotation.,O(n),O(1),Medium
p013,String,Find the first non-repeating character in a string.,aabbcdde,c,Count the frequency of every character.,Scan the string again using the frequencies., ,Use a frequency map followed by a second traversal.,O(n),O(n),Medium
p014,Array,Find two numbers in an array whose sum equals a target.,"[2,7,11,15] target=9","[2,7]",Store previously seen numbers.,For each number check whether target minus that number exists., ,Use a hash map to find the required complement.,O(n),O(n),Medium
p015,Stack,Evaluate a postfix expression.,2 3 1 * + 9 -,-4,Use a stack to store operands.,When an operator appears pop two operands., ,Push numbers and apply each operator to the top two stack values.,O(n),O(n),Medium
p016,Linked List,Reverse a singly linked list.,1 -> 2 -> 3 -> 4,4 -> 3 -> 2 -> 1,Keep track of the previous node.,Change the next pointer of each node., ,Iteratively reverse each next pointer using previous and current nodes.,O(n),O(1),Medium
p017,Binary Tree,Perform level order traversal of a binary tree.,"[1,2,3,4,5]","[[1],[2,3],[4,5]]",Think about processing one tree level at a time.,A queue can store nodes waiting to be processed., ,Use breadth-first traversal with a queue.,O(n),O(n),Medium
p018,Searching,Find an element in a sorted array using binary search.,"[1,3,5,7,9,11] target=7",3,Look at the middle element.,Discard the half that cannot contain the target., ,Repeatedly compare the target with the middle value.,O(log n),O(1),Medium
p019,Hashing,Find the intersection of two arrays.,"[1,2,2,3] and [2,2,4]",[2],Store elements from one array in a set.,Check the elements of the second array against the set., ,Use a set to identify common values.,O(n),O(n),Medium
p020,Array,Find the length of the longest consecutive sequence.,"[100,4,200,1,3,2]",4,Store all values in a set.,Only start counting when the previous value is absent., ,Use a hash set and expand sequences from their starting values.,O(n),O(n),Medium
p021,Recursion,Generate all permutations of an array.,"[1,2,3]",All permutations,Choose one unused element for each position.,Use recursion to build the current permutation.,Backtrack after each recursive choice.,Use recursive backtracking to generate every possible ordering.,O(n*n!),O(n),Hard
